author,title,imprint,nationality,date,htid
"McGuire, Christine.",Until proven guilty / | $c: Christine McGuire.,New York|Pocket Books|c1993.,nyu,1993,uc1.32106009966307
"Breitwieser, J. V., 1884-",Psychological advertising [by] J. V. Breitwieser ...,"Apex book company, 1915.",cou,1915,mdp.39015034717010
"Maartens, Maarten",The greater glory; a story of high life,London;R. Bentley and Son,ne,1894,nyp.33433034410963
"Ratzenhofer, Gustav, 1842-1904.",Die sociologische Erkenntnis : positive Philosophie des socialen Lebens / von Gustav Ratzenhofer.,"Arno Press, 1975.",nyu,1975,uva.x000283481
"Goldenweiser, Alexander, 1880-1940.","History, psychology, and culture.","P. Smith, 1968 [c1933]",mau,1968,uva.x000093270
,"Tales from ""Blackwood.""",Edinburgh;W. Blackwood;18,,1889,uc2.ark+=13960=t5bc3xz0x
"DeWolf, L. Harold 1905-1986.",The religious revolt against reason.,Harper [1949],nyu,1949,mdp.39015026267594
"Cain, Sandra E.",Sciencing : an involvement approach to elementary science methods / Sandra E. Cain and Jack M. Evans.,"Merrill, c1979.",ohu,1979,mdp.39076006118264
"Stevens, Charles Emery, 1815-1893.",Anthony Burns : a history / Charles Emery Stevens.,"Corner House, 1973.",mau,1973,mdp.39015071648831
"Bernard, Harold W. 1908-1998.",Psychology of learning and teaching.,"McGraw-Hill, 1965.",nyu,1965,mdp.39015004346949
"Dobson, James C., 1936-",Hide or seek [by] James Dobson.,F.H. Revell Co. [1974],nju,1974,mdp.39015000298813
"Winter, Charles E. (Charles Edward)",Grandon of Sierra,New York;J.J. Little & Iv,us,1907,uc1.31822038205928
"Van Orden, Bianca.",309 East & A night of levitation.,"New York|Harcourt, Brace|1957",nyu,1957,mdp.39015014862232
"Carlson, Neil R., 1942-","Psychology : the science of behavior / Neil R. Carlson, Mary Carlson.","Allyn and Bacon, 1993.",mau,1993,uva.x002670825
"Lamb, Caroline",Graham Hamilton,London;Henry Colburn;1822,,1822,uc2.ark+=13960=t1qf91q47
"Stern, Philip Van Doren,","Travelers in time : | strange tales of man's journeyings into the past and the future / | $c: edited, with an introd. by Philip Van Doren Stern.",New York|Doubleday|1947.,nyu,1947,mdp.39015031010781
"Burke, Kenneth, 1897-1993.","Permanence and change; an anatomy of purpose,","New republic, inc., 1936",nyu,1935,uc1.b3924305
"Green, Henry,",Nothing.,New York|Viking Press|1950.,nyu,1950,mdp.39015014190386
"Gill, Brendan,",The trouble of one house / | $c: Brendan Gill.,"Garden City, N.Y.|Doubleday|1950.",nyu,1950,uc1.$b102695
"Scott, Walter Dill, 1869-1955",The theory and practice of advertising a simple exposition of the principles of psycholoy in their relation to successful advertising. By Walter Dill Scott ...,"Small, Maynard & company, 1914.",mau,1914,hvd.32044051139590
"Kuhn, Thomas S. 1922-1996.",The structure of scientific revolutions.,"University of Chicago Press, [1962]",ilu,1962,mdp.39015038650993
"Sparrow, Carroll Mason, 1880-1941.",Voyages and cargoes. [Essays].,1947,vau,1947,mdp.39015030981677
"Maugham, W. Somerset (William Somerset),",Complete short stories.,"Garden city, N.Y.|Doubleday|1952.",nyu,1952,mdp.49015000993742
"Dyke, Watson",The hunter,New York;London;G.P. Putn,us,1918,nyp.33433074851936
"Power, Richard,",The land of youth.,New York|Dial Press|1964.,nyu,1964,uc1.$b115481
"Gray, John Chipman, 1839-1915.",The nature and sources of the law / by John Chipman Gray.,"Macmillan, 1938.",nyu,1938,uiug.30112118810305
"Woolf, Virginia,",Mrs. Dalloway | $c: [by Virginia Woolf],"New York|Harcourt, Brace|1925.",nyu,1925,mdp.39015013962207
"Flynn, John Thomas, 1883-1964.","As we go marching, by John T. Flynn.","Doubleday, Doran and co., inc., 1944.",nyu,1944,mdp.39015001575656
"Loti, Pierre",The marriage of Loti (Rarahu),London;Laurie;191-?,fr,1910,uc2.ark+=13960=t79s1sv30
"Mühlbach, L. 1814-1873.",The works of Louise Mühlbach in eighteen volumes / Louise Mühlbach [i.e. K. M. Mundt] ; fronts. in color from paintings by Walter H. Everett.,"P. F. Collier, 1902 [c1864-1893]",nyu,1866,uc2.ark:/13960/t9668mk66
"Vergara, William Charles.",Mathematics in everyday things.,Harper [1959],nyu,1959,inu.30000011309345
"White, Stewart Edward, 1873-1946.",The adventures of Bobby Orde / by Stewart Edward White.,"Grosset & Dunlap, c1911.",pau,1910,uc2.ark:/13960/t52f7m087
"Arkell, Reginald,",The miracle of Merriford; | $c: Illustrated by J.S.Goldall.,New York|Reynal & Co.|1956,nyu,1955,mdp.39015016454335
