htid,htid_old,first_publication,rights,ht_bib_key,description,source,source_bib_num,oclc_num,lccn,title,imprint,rights_date_used,author,bib_fmt,oclc_number_earliest,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,rights_reason_code,,pub_place,random
uc2.ark:/13960/t2s46m379,uc2.ark+=13960=t2s46m379,1872,pdus,7690338,v.36,UC,2256651,14927206,,[Works],"Dalton, 1888-1908.",1908,"MacDonald, George, 1824-1905.",BK,14927206,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.3692630584
uc2.ark:/13960/t5bc3v683,uc2.ark+=13960=t5bc3v683,1904,pd,7666680,,UC,2282389,8912740,,"Tillie, a Mennonite maid : a story of the Pennsylvania Dutch / By Helen Reimensnyder Martin ; with illustrations by Florence Scovel Shinn.","Grosset and Dunlap, 1908, c1904.",1908,"Martin, Helen Reimensnyder, 1868-1939.",BK,5013540,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,pau,0.6137130684
uc2.ark:/13960/t1dj58m9x,uc2.ark+=13960=t1dj58m9x,1906,pd,7648461,,UC,247613,22994962,9032297,"The lady of the decoration, by Frances Little [pseud.]","The Century co., 1908, c1906.",1908,"Macaulay, Fannie (Caldwell), Mrs., 1863-",BK,288932,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.03688483359
uc2.ark:/13960/t8cf9kn2t,uc2.ark+=13960=t8cf9kn2t,1908,pd,559555,,UC,"b150159900,GLAD151212722-B",1652164,,"The firing line, by Robert W. Chambers.",Grosset & Dunlap [1908],1908,"Chambers, Robert W. 1865-1933.",BK,270770,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.4346634599
uc2.ark:/13960/t6f18vs3z,uc2.ark+=13960=t6f18vs3z,1908,pd,6654077,,UC,69302,1913020,8015729,The nun (L'isolée) from the French ... of René Bazin.,"Scribner, 1908.",1908,"Bazin, René, 1853-1932.",BK,1913020,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.9628048758
uc2.ark:/13960/t9t14wj10,uc2.ark+=13960=t9t14wj10,1899,pd,7666158,,UC,2250078,320092383,,Knight Conrad of Rheinstein : a romance of the days of chivalry / by Julius Ludovici.,"Rand, McNally, 1909.",1909,"Ludovici, Julius.",BK,13803288,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.2831540301
uc2.ark:/13960/t4fn11k6s,uc2.ark+=13960=t4fn11k6s,1900,pd,7662065,,UC,1737311,3994010,,"Jack Harkaway's escape from the brigands, being the conclusion of ""Jack Harkaway among the brigands,"" by Bracebridge Hemyng.","M.A. Donohue & company, [190-?]",1909,"Hemyng, Bracebridge, 1841-1901.",BK,3994010,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,stk,0.7898689501
uc2.ark:/13960/t79s1nv0w,uc2.ark+=13960=t79s1nv0w,1904,pdus,7651774,,UC,543914,11065895,,In the great god's hair. Translated from the original manuscript.,"J. Parker, 1909.",1909,"Bain, F. W. 1863-1940.",BK,3140416,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xx ,0.2801537517
uc2.ark:/13960/t5h99001t,uc2.ark+=13960=t5h99001t,1906,pd,7670826,v.01,UC,2802251,320152453,,"The real America in romance, with reading courses : being a complete and authentic history of America from the time of Columbus to the present day / edited by John Roy Musick and Edwin Markham.","Wise, 1909.",1909,,BK,7392463,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.2516442274
uc2.ark:/13960/t3dz07r8m,uc2.ark+=13960=t3dz07r8m,1908,pd,283177,,UC,682249,783450,9006264,"My story, by Hall Caine.","D. Appleton and company, 1909.",1909,"Caine, Hall, Sir, 1853-1931.",BK,757586,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.6390543324
uc2.ark:/13960/t4xg9ft33,uc2.ark+=13960=t4xg9ft33,1908,pd,7681377,,UC,4083704,363188465,,The uttermost farthing : / by Mrs. Belloc Lowndes.,"Mitchell Kennerley, [c1909]",1909,"Lowndes, Marie Belloc, 1868-1947.",BK,1342418000,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,ilu,0.3273382947
uc2.ark:/13960/t29882z7p,uc2.ark+=13960=t29882z7p,1896,pd,7667955,v.08,UC,2471230,6548348,,[Works of S. Weir Mitchell],"The Century Co., 1910, [c1884-1908]",1910,"Mitchell, S. Weir 1829-1914.",BK,83108356,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.7462942689
uc2.ark:/13960/t3mw2dc57,uc2.ark+=13960=t3mw2dc57,1900,pd,6541517,,UC,"b124789420,GLAD17157396-B",30143410,,"The monk and the dancer, by Arthur Cosslett Smith.","C. Scribner's Sons, 1910.",1910,"Smith, Arthur Cosslett, 1852-1926.",BK,652092,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.09035569209
uc2.ark:/13960/t85h7dj6d,uc2.ark+=13960=t85h7dj6d,1905,pd,1211431,,UC,717116,1064274,41034775,"Gerfaut,","Current literature publishing company, 1910.",1910,"Bernard, Charles de, 1804-1850.",BK,3865599,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,ilu,0.4997852668
uc2.ark:/13960/t0ks6km2b,uc2.ark+=13960=t0ks6km2b,1905,pd,1802523,v.002,UC,3543909,884540,,Cinq Mars; with a pref by Charles de Mazade.,"Current Literature Pub. Co., 1910.",1910,"Vigny, Alfred de, 1797-1863.",BK,4269341,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.0810154884
uc2.ark:/13960/t77s7rq5d,uc2.ark+=13960=t77s7rq5d,1909,pd,784793,,UC,4374762,1360971,10009514,"Lady Merton, colonist, by Mrs. Humphry Ward; frontispiece by Albert Sterner.","Doubleday, Page & Co., 1910.",1910,"Ward, Humphry, Mrs., 1851-1920.",BK,1360971,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.01876139798
loc.ark:/13960/t2g747b00,loc.ark+=13960=t2g747b00,1909,pdus,11207792,,LOC,7290001,381641,11008489,"Love intrigues of royal courts, by Thornton Hall [pseud.]","Dodd, Mead & company: [etc., etc., 1910]",1910,"Greenwood, William de Redman, 1858-",BK,222495999,ILOC,loc,loc,ia,open,bib,,xx ,0.1180335461
uc2.ark:/13960/t8w95196d,uc2.ark+=13960=t8w95196d,1883,pd,7658774,,UC,1314246,1872567,,"Elsie's new relations: what they did and how they fared at Ion.  A sequel to ""Grandmother Elsie"".","Dodd, Mead, [c1911]",1911,"Finley, Martha, 1828-1909.",BK,43416048,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,   ,0.6732309508
uc2.ark:/13960/t1zc8004h,uc2.ark+=13960=t1zc8004h,1905,pdus,7695350,,UC,4480378,364129951,,A spoiler of men.,"Chatto & Windus, 1921 [c1911]",1911,"Marsh, Richard, d. 1915.",BK,11174016,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.4973416454
uc2.ark:/13960/t7dr2qn5d,uc2.ark+=13960=t7dr2qn5d,1907,pd,6131715,,UC,"b150659039,GLAD151526650-B",19743343,7037269,Under the crust / by Thomas Nelson Page ; illustrated.,"Charles Scribner's Sons, 1911,c1907.",1911,"Page, Thomas Nelson, 1853-1922.",BK,233449,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.7019102273
uc2.ark:/13960/t52f7m087,uc2.ark+=13960=t52f7m087,1910,pd,6503508,,UC,"b100855350,GLAD17155537-B",8026366,,The adventures of Bobby Orde / by Stewart Edward White.,"Grosset & Dunlap, c1911.",1911,"White, Stewart Edward, 1873-1946.",BK,2715809,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,pau,0.3471186227
uc2.ark:/13960/t6b27st7j,uc2.ark+=13960=t6b27st7j,1910,pdus,7661437,,UC,1635612,3472117,11011314,"Mrs. Maxon protests, by Anthony Hope [pseud.] Illustrated by R. F. Schabelitz.","Harper & brothers, 1911.",1911,"Hope, Anthony, 1863-1933.",BK,3472117,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xx ,0.1814720001
uc2.ark:/13960/t2k64b10s,uc2.ark+=13960=t2k64b10s,1910,pd,7683660,,UC,4338989,17737345,,Rules of the game / by Stewart Edward White.,"T. Nelson and Sons, 1911.",1911,"White, Stewart Edward, 1873-1946.",BK,290705,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,pau,0.8056442964
uc2.ark:/13960/t16m37p5j,uc2.ark+=13960=t16m37p5j,1896,pd,7689365,,UC,1818550,13389105,,"Many cargoes, by W.W. Jacobs ...","Methuen, [1912]",1912,"Jacobs, W. W. 1863-1943.",BK,2495932,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,enk,0.934364731
