author,title,imprint,nationality,inferreddate,htid
,"Life and limb : selected tales of peril, predicament and dire distress","Davis, CA|Hi Jinx Press|1",,1996,uc1.32106016310473
"Russ, Joanna",The female man,"Boston|Gregg Press|1977, ",us,1977,mdp.39015047597136
"Barry, John M., 1947-",The ambition and the power : Jim Wright and the will of the House / John Barry.,"Viking, 1989.",nyu,1989,mdp.39015015496246
"Trafton, Gilbert H. 1874-",Science of home and community : a text-book in general science / by Gilbert H. Trafton.,"Macmillan Co., 1919.",nyu,1919,hvd.32044097025159
,Hardenbrass and Haverill;,"London;Sherwood, Neely, a",us,1817,uiuo.ark+=13960=t3hx1r852
,"Guidebook to excellence, 1994 : a directory of federal resources for mathematics and science education improvement for the southwest region served by the Southwest Consortium for the improvement of Mathematics and Science Teaching.","Eisenhower National Clearinghouse for Mathematics and Science Education, [1994]",ohu,1994,uc1.31210024866079
,"Told under the magic umbrella; | modern fanciful stories for young children, | $c: selected by the Literature Committee of the Association for Childhood Education, illustrated by Elizabeth Orton Jones.",New York|Macmillan Company|1939.,nyu,1939,uc1.b4088037
,Atlantic narratives; modern short stories; ed. with an introduction by Charles Swain Thomas ...,The Atlantic Monthly Press [1918],nyu,1918,uc2.ark:/13960/t6057f54c
"Cowper, Richard,",The road to Corlay / | $c: Richard Cowper.,New York|Pocket Books|c1978.,nyu,1978,mdp.39015052543298
"Eastman, Charles Alexander, 1858-1939.",Red hunters and the animal people / by Charles A. Eastman (Ohiyesa) ...,"Harper & Brothers, 1904.",ilu,1904,uc2.ark:/13960/t8pc2vp02
"Allen, Chauncey Newell, 1900-","Individual differences in delayed reaction of infants; a study of sex differences in early retentiveness,",1931,nyu,1931,uva.x002614850
"James, William, 1842-1910.",Essays in radical empiricism [and] A pluralistic universe.,"P. Smith, 1967.",mau,1967,mdp.39015063827177
"Cheever, John",The Wapshot scandal,New York|Harper & Row|c19,us,1964,mdp.39015031598389
"Williams, Wright",Percentage girl,New York|Phoenix Press Pu,,1940,osu.32435067907899
"Smith, Vincent Edward, 1915-",The school examined: its aim and content.,Bruce Pub. Co. [1960],wiu,1960,uc1.b4370396
