author,title,imprint,nationality,date,htid
"Warner, Charles Dudley, 1829-1900.","Being a boy, by Charles Dudley Warner ... illustrated by ""Champ"".","Houghton, Mifflin and Company, [c1919]",nyu,1877,uc2.ark:/13960/t4hm53237
"Karp, David Allen, 1944-",Experiencing the life cycle : a social psychology of aging / by David A. Karp and William C. Yoels.,"C.C. Thomas, c1982.",ilu,1982,mdp.39015015274585
"Mott, Lawrence, 1881-1931.","The white darkness, and other stories of the great Northwest, by Lawrence Mott ... illustrated by Frank E. Schoonover and Cyrus Cuneo.","The Outing Publishing Company, 1907.",nyu,1905,uc2.ark:/13960/t2q52fh5v
"Underhill, Harold",Jamaica white,"New York|Macmillan|1967, ",,1967,uc1.b3454992
"Wilson, Irma, 1895-","Mexico; a century of educational thought, by Irma Wilson ...","Hispanic institute in the United States, 1941.",nyu,1941,mdp.39015011251207
"Stickney, Albert, 1839-1908.","Organized democracy, by Albert Stickney.","Houghton, Mifflin and company, 1906.",nyu,1906,coo1.ark:/13960/t7qn6pt3j
"M/Ric, 1892-","Purging Americans to rid the world of nuclear and space weapons, and to raise the national average of the mental ability of Americans via new and valid political and economic systems, and an advanced culture / by M/Ric.","D.T. Publishers, [198-]",nju,1986,wu.89058253618
"Upward, Edward",The coming day and other stories,London|Enitharmon Press|C,uk,2000,mdp.39015050761082
"Katz, Daniel, 1903-1998.","Morale and motivation in industry. Presented at the Conference on Trends in Industrial Psychology at the University of Pittsburgh,February 19, 1949.","Survey Research Center, University of Michigan [1949?]",miu,1949,mdp.39015011282905
"Plum, Mary.","Murder at the World's fair, | $c: by Mary Plum.",New York|London|Harper & brothers|1933.,nyu,1933,mdp.39015013718633
"Lucas, F. L. 1894-1967.",Studies French and English.,Books for Libraries Press [1969],nyu,1969,uc1.$b190117
"Heyward, DuBose,",The half pint flask | $c: [by] Du Bose Heyward.,"New York|Farrar & Rinehart, inc.|1929.",nyu,1929,mdp.39015021968543
"Lasswell, Harold D. 1902-1978.",World politics and personal insecurity [by] Harold D. Lasswell. [With a new introd.],Free Press [1965],nyu,1965,uc1.b3955216
