htid,inferreddate,title,author,nationality,imprint
uc1.b4041084,1942,Spatial sense and movements of the eye,"Hering, Ewald",,Baltimore|The American ac
inu.30000120967314,1973,A well-told lie.,"Hobhouse, Christina,",nyu,New York|Knopf|1973 [c1972
uc1.b3468904,1949,Nightmare in Manhattan.,"Walsh, Thomas,",mau,"Boston|Little, Brown|1950."
mdp.39015011506170,1978,Small boats and big seas : a hundred years of yachting,,,Melbourne|New York|Oxford
hvd.32044058243072,1834,"Grace Cassidy; or, The repealers. A novel","Countess of, Blessington, Marguerite",ir,London;R. Bently;1834.
mdp.39015051324393,1952,The stories of Flying Officer 'X',"Bates, H. E. (Herbert Ernest)",uk,London|J.Cape|1952
mdp.49015000893496,1952,The story of Abraham Lincoln;,"Baker, Nina Brown",,New York|Grosset & Dunlap
uc1.$b249101,1903,"Helen Adair, | $c: by Louis Becke.","Becke, Louis,",pau,Philadelphia|J. B. Lippincott company|1924
uc1.b4431004,1983,Radiance / | $c: N. Richard Nash.,"Nash, N. Richard.",nyu,"Garden City, N.Y.|Doubleday|1983."
uc1.b4358700,1976,The sensuous southpaw : | a novel / | $c: by Paul R. Rothweiler.,"Rothweiler, Paul R.,",nyu,New York|Putnam|c1976.
mdp.39015014190386,1950,Nothing.,"Green, Henry,",nyu,New York|Viking Press|1950.
mdp.39076002598642,1953,Alicia,"Means, Florence Crannell",us,Boston|Houghton Miffllin 
mdp.39015030202835,1899,"Imperium in imperio; | a study of the Negro race problem, a novel / | $c: Sutton E. Griggs.","(Sutton Elbert), Griggs, Sutton E.",nyu,New York|Arno Press|1969.
mdp.39015072819769,1969,This nation was not born to perish : a novel of the First World War,"Sinanian, John",us,New York|Vantage Press|19
uc1.$b312375,1946,I heard them sing / | $c: by Ferdinand Reyher.,"Reyher, Ferdinand.",mau,"Boston|Little, Brown|1946."
uc2.ark:/13960/t2z31qs89,1828,"Tarry thou till I come; or Salathiel, the wandering Jew; by George Croly; introductory letter by Gen. Lewis Wallace: with twenty full-page drawings by T. de Thulstrup.","Croly, George, 1780-1860.",nyu,"Funk & Wagnalls Company, 1901."
uc1.$b63994,1941,The uniform of glory,"Wren, Percival Christopher",uk,Philadelphia|Macrae-Smith
uc2.ark:/13960/t9668mk66,1866,The works of Louise MuÃàhlbach in eighteen volumes / Louise MuÃàhlbach [i.e. K. M. Mundt] ; fronts. in color from paintings by Walter H. Everett.,"MuÃàhlbach, L. 1814-1873.",nyu,"P. F. Collier, 1902 [c1864-1893]"
mdp.39015005117000,1956,Peasants and other stories / | $c: Anton Chekhov ; selected and with a preface by Edmund Wilson.,"Chekhov, Anton Pavlovich,",nyu,"Garden City, N.Y.|Doubleday|1956."
nyp.33433074930714,1919,Beyond the sunset : a tale of love and pirate gold,"Brown, George Rothwell",us,"Boston;Small, Maynard & C"
pst.000046236876,1983,The secret staircase,"Barklem, Jill",uk ,"New York|Atheneum Books, "
uc1.32106006704339,1978,The five fingers,"Rivers, Gayle",,"Garden City, N.Y.|Doubled"
uc1.$b103840,1949,Flames of empire,"Graeme, Bruce",uk,New York|Putnam|1949
mdp.39015066677249,1957,Desert love.,"Montherlant, Henry de,",nyu,New York|Noonday Press|1957
loc.ark+=13960=t6j10qn99,1889,The white indian,"Laufer, Bernhardt. [from old catalog]",,"Buffalo, N.Y.;s.n.;1889."
mdp.39015059414972,1930,"The third day, | $c: by George Manning-Sanders.","Manning-Sanders, George.",nyu,New York|H. Liveright|1930.
uc1.$b451040,1903,Betty Zane / | $c: by Zane Grey ; illustrations by Louis F. Grant ; foreword to the Bison Books edition by Loren Grey.,"Grey, Zane,",nbu,Lincoln|University of Nebraska Press|c1995.
uc1.$b251992,1963,Within the hourglass.,"Christie, Howard E.",pau,Philadelphia|Dorrance|c1963
mdp.39015024855309,1953,The train in the meadow.,"Nathan, Robert,",nyu,New York|Knopf|1953.
nyp.33433076021868,1904,"The bright face of danger; being an account of some adventures of Henri de Launay, son of the Sieur de la Tournoire","Stephens, Robert Neilson",us,Boston;L. C. Page & compa
mdp.39015031230694,1976,"Bottom dogs, From Flushing to Calvary, Those who perish, and hitherto unpublished and uncollected works / | $c: by Edward Dahlberg.","Dahlberg, Edward,",nyu,New York|Crowell|c1976.
loc.ark:/13960/t2f775w81,1917,"A green tent in Flanders, by Maud Mortimer, illustrated by the author.","Mortimer, Maud.",ilu,"Doubleday, Page & company, 1917."
uc2.ark:/13960/t85h7dj6d,1905,"Gerfaut,","Bernard, Charles de, 1804-1850.",ilu,"Current literature publishing company, 1910."
mdp.39076001126809,1929,The world's best one hundred detective stories (in ten volumes),"Thwing, Eugene",,New York|Funk & Wagnalls|
mdp.39015034656440,1972,The mountain people,"Turnbull, Colin M",,New York|Simon and Schust
mdp.39015006957859,1934,Late climbs the sun | $c: [by] Gladys Bagg Taber.,"Taber, Gladys Bagg,",nyu,"New York|Coward-McCann, inc.|1934."
uc2.ark:/13960/t3fx7br51,1900,The lady of Lynn / by Walter Besant ; with twelve illustrations by G. Demain-Hammond.,"Besant, Walter, 1836-1901.",mau,"Chatto & Windus, 1901."
uc1.$b100807,1965,Boy Gravely.,"Dornfeld, Iris.",nyu,New York|Knopf|1965.
wu.89097347298,1946,"Back to the smoky sea, | $c: by Nutchuk, with Alden Hatch; illustrated by Nutchuk.","Nutchuk,",nyu,"New York|J. Messner, inc.|1946"
uc2.ark:/13960/t9t14wj10,1899,Knight Conrad of Rheinstein : a romance of the days of chivalry / by Julius Ludovici.,"Ludovici, Julius.",mau,"Rand, McNally, 1909."
mdp.39076006235688,1956,The magic Christmas tree. | $c: Pictures by Bettina [pseud.],"Kingman, Lee.",nyu,New York|Ariel Books|1956
uc2.ark:/13960/t89g5kb8w,1915,The nameless island / By Percy F. Westerman.,"Westerman, Percy Francis, 1876-",nyu,"C. Arthur Pearson ltd., 1920."
mdp.39015031232757,1975,And bid him sing : a novel,"DuBois, David Graham",us,"Palo Alto, Calif.|Rampart"
uc1.31822038205928,1907,Grandon of Sierra,"Winter, Charles E. (Charles Edward)",us,New York;J.J. Little & Iv
inu.30000052999335,1995,Classic Fairy Tales from ancient Palestine and Jordan,"Ben Odeh, Hikmat",,Irbid|H. Ben Odeh|c1995.
uc2.ark:/13960/t2s46m379,1872,[Works],"MacDonald, George, 1824-1905.",nyu,"Dalton, 1888-1908."
uc2.ark:/13960/t6n01c29h,1916,"The shadow line; a confession, by Joseph Conrad ...","Conrad, Joseph, 1857-1924.",ilu,"Doubleday, Page & Company, 1917."
uc1.$b71764,1937,"Mortgage your heart, | $c: by Sophus Keith Winther.","Winther, Sophus Keith,",nyu,New York|The Macmillan Company|1937.
uc2.ark:/13960/t4xg9ft33,1908,The uttermost farthing : / by Mrs. Belloc Lowndes.,"Lowndes, Marie Belloc, 1868-1947.",ilu,"Mitchell Kennerley, [c1909]"
uc1.$b56441,1944,The proud people : a novel,"Crichton, Kyle",us,New York|Charles Scribner
mdp.39015073446323,1933,Life in the United States; a collection of narratives of contemporary life from first-hand experience or observation,,us,New York|C. Scribner's|19
mdp.39015034282858,1995,Blood relations,"Montemayor, Carlos",me,"Kaneohe, Hawaii|Plover Pr"
uc2.ark+=13960=fk3nv99f7f,1903,Mrs. Pendleton's four-in-hand,"Atherton, Gertrude Franklin Horn",us,New York;The Macmillan Co
nyp.33433081852992,1902,Abner Daniel : a novel,"Harben, Will N. (William Nathaniel)",us,New York;Harper;1902.
uc1.$b103181,1924,Lummox,"Hurst, Fannie",us,"London|J. Cape, ltd.|1924"
mdp.39015023647459,1986,Love unknown / | $c: by A.N. Wilson.,"Wilson, A. N.,",nyu,"New York, N.Y., U.S.A.|Penguin Books|1988, c1986."
mdp.39015013501922,1984,Demon in the skull,"Pohl, Frederik",us,New York|DAW Books|1984|(
uc2.ark:/13960/t6b27s285,1907,Alice-for-short / by William De Morgan.,"De Morgan, William Frend, 1829-1917.",nyu,"Grosset & Dunlap, 1907."
uc2.ark+=13960=t1ng4h02g,1906,Don Miguel Lehumada,"Greenleaf, Sue",us,New York;B. W. Dodge and 
mdp.39076006602408,1926,The novels of Henry Fielding.,"Fielding, Henry,",mau,Boston|Houghton Mifflin|1926.
mdp.39015000611353,1969,"Patience and Sarah, | $c: by Isabel Miller.","Miller, Isabel,",nyu,"New York|McGraw-Hill Book Company|1972, c1969."
mdp.39015002661174,1980,In iron years / | $c: Gordon R. Dickson.,"Dickson, Gordon R.",nyu,"Garden City, N.Y.|Doubleday|1980."
uc2.ark:/13960/t6833r49b,1918,"The pretty lady, by Arnold Bennett ...","Bennett, Arnold, 1867-1931.",nyu,"George H. Doran Company, [c1918]"
mdp.39015020740315,1925,The tale of Genji / | $c: Murasaki Shikibu ; translated with an introduction by Edward G. Seidensticker.,"Murasaki Shikibu,",nyu,"New York|Alfred A, Knopf|c1976."
mdp.39015018982119,1990,"First Hubby / | $c: Roy Blount, Jr.","Blount, Roy.",nyu,New York|Villard Books|1990.
loc.ark:/13960/t6348xr76,1913,"Philip of Texas; a story of sheep raising in Texas,","Otis, James, 1848-1912.",nyu,American book company [c1916]
inu.39000005799817,1962,"Malayan fables, retold from the Malay annals","Parkinson, Ann",,Singapore|Eastern Univers
uc1.b4099794,1962,The shattered glass.,"Ariss, Jean.",nyu,New York|Knopf|1962.
nc01.ark:/13960/t53f5v60h,1871,At the back of the North Wind / by George Macdonald ; illustrated by Jessie Willcox Smith.,"MacDonald, George, 1824-1905.",dcu,"D. McKay, c1919."
uc1.b4368241,1943,The apostle,"Asch, Sholem",po,New York|G.P. Putnam's So
mdp.39015014573664,1988,Dreaming : | a novel / | $c: by Herbert Gold.,"Gold, Herbert,",nyu,New York|D.I. Fine|c1988.
mdp.39015024894282,1989,Two kilos of rice & other stories,"Dhaḷa, Rameśa Candra",,"Calcutta, India|Writers W"
mdp.39015063936622,1917,"Outposts of the fleet; stories of the merchant service in war and peace, by Edward Noble.","Noble, Edward.",ilu,"Houghton Mifflin company, 1917."
mdp.39076005945360,1961,Plant location and community changes,"Merrill, Kenneth E",,Lawrence|Center for Resea
uc2.ark:/13960/fk7sn01j2b,1885,Driven back to Eden.,"Roe, Edward Payson, 1838-1888.",gau,"International association of newspapers and authors, 1901."
uc1.b4098773,1955,"Youth, youth, youth; | $c: stories of challenge, confidence and comradeship.","Tibbetts, Albert B.",nyu,New York|F. Watts|1955
uc1.b3143008,1941,Home is here,"Meller, Sidney",us,New York|The Macmillan co
pst.000045475443,1997,Big scary wolf / | $c: written and illustrated by Harvey Stevenson.,"Stevenson, Harvey.",nyu,New York|Clarion Books|c1997.
mdp.49015000993742,1952,Complete short stories.,"Maugham, W. Somerset (William Somerset),",nyu,"Garden city, N.Y.|Doubleday|1952."
uc2.ark:/13960/t3hx1634q,1904,"Comrades in arms; a tale of two hemispheres, by General Charles King ... illustrations by George Gibbs and E. W. Deming.","King, Charles, 1844-1933.",mau,"The Hobart Company, 1904."
mdp.39015029554261,1992,Shadows in bronze : a Marcus Didius Falco novel,"Davis, Lindsay",uk,New York|Ballantine Books
mdp.39015003676734,1964,"Scented gardens for the blind, a novel","Frame, Janet",nz,New York|G. Braziller|196
mdp.39015000674443,1934,"The claimants, | $c: by Archibald Marshall.","Marshall, Archibald,",mau,Boston|New York|Houghton Mifflin company|1934.
uc2.ark+=13960=t11n8091g,1910,The princess of Forge,"Shedd, George C. (George Clifford)",us,New York;Macaulay;1910.
uc2.ark:/13960/t6n010v0x,1880,"Uncle Remus, his songs and his sayings, by Joel Chandler Harris; with an introduction by Thomas Nelson Page, and illustrations by A. B. Frost and E. W. Kemble.","Harris, Joel Chandler, 1848-1908.",nyu,"D. Appleton and company, 1920."
mdp.39015066648810,1950,A kiss for the leper =Le baiser au lÃ©preux ; [Genetrix],"Mauriac, FranÃ§ois",fr,London|Eyre & Spottiswood
uc2.ark:/13960/fk22b8vh0p,1914,"Myths and legends of the Mississippi Valley and the Great Lakes, selected and ed. by Katharine B. Judson ...","Judson, Katharine Berry.",inu,"A.C. McClurg & Co., 1914."
nyp.33433074851886,1914,The Titan,"Dreiser, Theodore",us,New York;John Lane Co.;Lo
uc2.ark:/13960/t1zc8004h,1905,A spoiler of men.,"Marsh, Richard, d. 1915.",nyu,"Chatto & Windus, 1921 [c1911]"
inu.30000105822773,1989,The great China earthquake,"Qian, Gang",,Beijing|Foreign Languages
uc1.b4975928,1986,The sorcerer's apprentice / | $c: Charles Johnson.,"Johnson, Charles (Charles Richard),",nyu,New York|Atheneum|1986.
uc2.ark:/13960/t6c24r785,1913,Bransford of Rainbow Range / by Eugene Manlove Rhodes ; frontispiece by Harvey T. Dunn.,"Rhodes, Eugene Manlove, 1869-1934.",nyu,"Grosset & Dunlap, [1920]"
uc1.b4088037,1939,"Told under the magic umbrella; | modern fanciful stories for young children, | $c: selected by the Literature Committee of the Association for Childhood Education, illustrated by Elizabeth Orton Jones.",,nyu,New York|Macmillan Company|1939.
uc1.32106002117858,1971,Nobody knew they were there!,"Hunter, Evan,",nyu,"Garden City, N.Y.|Doubleday|1971."
uc1.$b155513,1955,The noble stallion,"Lehmann, Arthur Heinz",de,"New York|Holt|1955,c1954"
mdp.39015031010781,1947,"Travelers in time : | strange tales of man's journeyings into the past and the future / | $c: edited, with an introd. by Philip Van Doren Stern.","Stern, Philip Van Doren,",nyu,New York|Doubleday|1947.
inu.30000045131764,1994,Remember death,"Meena, Gladstone",,London|Macmillan|1994.
uc1.b3454992,1967,Jamaica white,"Underhill, Harold",,"New York|Macmillan|1967, "
uc1.32106016310473,1996,"Life and limb : selected tales of peril, predicament and dire distress",,,"Davis, CA|Hi Jinx Press|1"
uc1.b4951110,1976,I hear America swinging / | $c: Peter De Vries.,"De Vries, Peter.",mau,"Boston|Little, Brown|c1976."
uc2.ark+=13960=t9p26r397,1920,The ring-necked grizzly,"Miller, Warren Hastings",us,New York;London;D. Applet
mdp.49015000710781,1958,The brave African huntress / | $c: by Amos Tutuola.,"Tutuola, Amos.",nyu,"New York|Grove Press|1970, c1958."
uc1.$b242744,1929,Coronet,"Komroff, Manuel",us,"New York|Coward-McCann, i"
uc1.b4451934,1983,Marie Blythe : | a novel / | $c: Howard Frank Mosher.,"Mosher, Howard Frank.",nyu,New York|Viking Press|1983.
uc2.ark+=13960=t9p26xq9c,1914,Outa Karel's stories,"Metelerkamp, Sanni",sa,London;Macmillan;1914.
mdp.39015021995231,1991,Murder by tradition / | $c: Katherine V. Forrest.,"Forrest, Katherine V.,",flu,"Tallahassee, FL|Naiad Press|1991."
mdp.39015003496737,1813,"The life and opinions of Tristram Shandy, gentleman,","Sterne, Laurence,",nyu,New York|The Odyssey press|c1940
uc1.$b799823,1946,The camelephamoose | $c: [by] Donald Hough.,"Hough, Donald,",nyu,"New York|Duell, Sloan and Pearce|1946"
uc2.ark:/13960/t8kd1r55j,1895,"Patience Sparhawk and her times; a novel, by Gertrude Atherton.","Atherton, Gertrude Franklin Horn, 1857-1948.",pau,"R. F. Fenno, 1903 [c1897]"
mdp.39015005354504,1889,Strange true stories of Louisiana,"Cable, George Washington",us,New York;C. Scribner's so
uc1.b4421424,1969,The long-winded lady; | notes from the New Yorker.,"Brennan, Maeve.",nyu,New York|Morrow|1969.
uc1.$b244956,1927,Jack a' Manory,"Stern, G. B. (Gladys Bronwyn)",uk,London|Chapman and Hall|1
inu.30000114426103,1978,Greengroundtown : | stories / | $c: by Christopher Fahy.,"Fahy, Christopher.",meu,"Orono, Me.|Puckerbrush Press|c1978."
mdp.39015059373020,1928,"What feather, | stories and verse, | $c: by L. S. Brown, A. E. Dubois, E. N. Hooker [and] M. C. Thomas.",,nyu,"Syracuse, N.Y.|Pendragon Press|1928"
uc2.ark:/13960/t3hx17h31,1912,The turn of the sword / by C. Maclean Savage ; with frontispiece in colors and decorations by the Kinneys.,"Savage, C. Maclean.",inu,"F.G. Browne, 1913."
mdp.39015050128027,1999,The society of friends : | stories / | $c: by Kelly Cherry.,"Cherry, Kelly.",mou,"Columbia, Mo.|University of Missouri Press|c1999."
nyp.33433074837331,1915,Heart of the sunset,"Beach, Rex",us,New York &;London;Harper 
inu.30000111982462,1939,"Decorating is fun! | How to be your own decorator, | $c: by Dorothy Draper; with line cuts and halftone illustrations.","Draper, Dorothy,",nyu,"New York, N.Y.|Doubleday, Doran & company, inc.|1942."
mdp.39015065929328,1946,The time stream / | $c: by John Taine [i.e. E. T. Bell].,"Bell, Eric Temple,",nyu,"New York|Garland Pub.|1975, c1946."
mdp.39015072819769,1969,This nation was not born to perish : a novel of the First World War,"Sinanian, John",us,New York|Vantage Press|19
uc1.b3810939,1966,The abductors,"Cloete, Stuart",sa,New York|Trident Press|19
wu.89064313984,1998,The fifth son,"Wiesel, Elie",rom,New York|Schocken Books|1
uc1.b3346129,1938,"Long haul, | $c: by A.I. Bezzerides.","(Albert Isaac), Bezzerides, A. I.",nyu,New York|Carrick & Evans|c1938
uc1.b4951365,1980,"Bright lights, dark rooms / | $c: David Nemec.","Nemec, David.",nyu,"Garden City, N.Y.|Doubleday|1980."
uiuo.ark+=13960=t66408j7j,1841,The hour and the man,"Martineau, Harriet",uk,London;E. Moxon;1841.
mdp.39015005665032,1955,Mother and son,"Compton-Burnett, I. (Ivy)",uk,London|V. Gollancz|1955.
