author,title,imprint,nationality,inferreddate,htid
"Felkin, Henry M.",An introduction to Herbart's science and practice of education / by Henry M. and Emmie Felkin ; with a preface by Oscar Browning.--,"D.C. Heath, 1900.",mau,1900,hvd.hwystt
"Stickney, Albert, 1839-1908.","Organized democracy, by Albert Stickney.","Houghton, Mifflin and company, 1906.",nyu,1906,coo1.ark:/13960/t7qn6pt3j
"Binder, Rudolph M. 1865-1950.",Feeling as the principle of individuation and socialization.,1903,nyu,1903,mdp.39015026436330
"Herndon, William Henry, 1818-1891.","Abraham Lincoln; the true story of a great life, by William H. Herndon and Jesse W. Weik, with an introduction by Horace White ...","D. Appleton and Company, 1906.",nyu,1906,uc1.$b301899
"Deering, John Richard, 1842-","Lee and his cause: or, The why and the how of the war between the states by John R. Deering...","The Neale publishing company, 1907.",nyu,1907,loc.ark:/13960/t3902jv3f
"Phelps, Edward John, 1822-1900.","Orations & essays of Edward John Phelps, diplomat and statesman; ed. by J.G. McCullough, with a memoir by John W. Stewart.","Harper & Brothers, 1901.",nyu,1901,hvd.32044020430062
"Nietzsche, Friedrich Wilhelm, 1844-1900.","Beyond good and evil,","The Macmillan company, 1907.",nyu,1907,uva.x002755709
"Beauchamp, William Martin, 1830-1925.","Past and present of Syracuse and Onondaga county, New York, from prehistoric times to the beginning of 1908, by the Rev. William M. Beauchamp.  Also biographical sketches of some prominent citizens of Syracuse and Onondaga county.","The S. J. Clarke publishing co., 1908.",nyu,1908,wu.89067607556
"Van Dyke, Henry, 1852-1933.",Out-of-doors in the Holy land : impressions of travel in body and spirit / by Henry Van Dyke.,"Charles Scribner's Sons, 1927, c1908.",nyu,1908,uc1.$b675385
"Pemberton, Henry, 1826-1911.","The path of evolution through ancient thought and modern science, by Henry Pemberton ...",H. Altemus company [1902],pau,1902,hvd.32044086951621
"Mitchell, Donald Grant, 1822-1908.",American lands and letters ... by Donald G. Mitchell.,"C. Scribner's Sons, 1901.",nyu,1901,hvd.hnl31q
"Sangster, Margaret Elizabeth Munson, 1838-1912.",From my youth up : personal reminiscences / by Margaret E. Sangster.,"F.H. Revell, c1909.",nyu,1909,pst.000057671628
"Harrison, Frederic, 1831-1923.","Tennyson, Ruskin, Mill and other literary estimates, by Frederic Harrison ....","The Macmillan company; Macmillan & co., ltd., 1900.",nyu,1900,coo1.ark:/13960/t3ws9796v
"Bishop, Joseph Bucklin, 1847-1928.","Our political drama, conventions, campaigns, candidates / by Joseph Bucklin Bishop ; with numerous illustrations and reproductions from caricatures.","Scott-Thaw, 1904.",nyu,1904,uiug.30112075972304
"Linn, William Alexander, 1846-1917.",Horace Greeley : founder and editor of the New York Tribune / by William Alexander Linn.,"D. Appleton, 1912, c1903.",nyu,1903,inu.32000002790410
"Stonebraker, J. Clarence.","The unwritten South : cause, progress and result of the Civil War, relics of hidden truth after forty years / by J. Clarence Stonebraker.","s. n.], c1908.",xxu,1908,hvd.32044015466022
"Maudsley, Henry, 1835-1918.",Responsibility in mental disease / by Henry Maudsley.,"D. Appleton, 1900.",nyu,1900,uiug.30112023067389
"Howe, M. A. De Wolfe 1864-1960.","American bookmen : sketches, chiefly biographical, of certain writers of the nineteenth century / by M. A. DeWolfe Howe.","Dodd, Mead, 1902.",nyu,1902,nyp.33433076031701
"Washington, Booker T., 1856-1915.",The story of my life and work : an autobiography / Booker T. Washington ; introduction by J.L.M. Curry.,"W.H. Ferguson Co., 1902.",ohu,1901,emu.10002335927
United States. President.,"A compilation of the messages and papers of the president, 1789-1908 / by James D. Richardson.","Bureau of National literature and art, 1909.",nyu,1909,nnc1.cu09365290
"Morgan, C. Lloyd 1852-1936.","The interpretation of nature,","G. P. Putnam's sons, 1906.",nyu,1906,hvd.hnvcvv
"Zandt, Ambrose.",Lex helicis the story of creation / by Ambrose Zandt ; translated by M.,"Farrington Printing Co., [c1905].",mau,1905,nnc2.ark:/13960/t42r52p6p
"Barr, Martin W., 1860-1938.","Mental defectives; their history, treatment, and training, by Martin W. Barr ... Illustrated by 53 full page plates.",Blakiston's 1904.,pau,1904,coo1.ark:/13960/t47p9j653
"Swedenborg, Emanuel, 1688-1772.","The economy of the animal kingdom, considered anatomically, physically, and philosophically / by Emanuel Swedenborg ; translated from the Latin by the Rev. Augustus Clissold.","New Church Board of Publication, 1903.",nyu,1903,nnc1.cu04810163
"Everett, Marshall, 1863-1939.","The American hall of fame. Famous Americans, their portraits, biographies and thrilling experiences, by Marshall Everett [pseud.] ... Describing the most startling and important events in the history of the United States","The Educational co., c1901.",ilu,1901,mdp.39015026616097
"Singleton, Esther, 1865-1930",Famous women as described by famous writers;,"Dodd, Mead & company, 1904.",nyu,1904,mdp.39015026262215
California Academy of Sciences,"Proceedings of the California Academy of Sciences. 3d ser., Zoology.","The Academy, 1897-",cau,1906,uc1.b000301089
"Whitman, Walt, 1819-1892.","Leaves of grass, by Walt Whitman, including a fac-simile autobiography, variorum readings of the poems and a department of gathered leaves.","D. McKay, Washington Square [c1900]",pau,1900,njp.32101074878719
"Taft, William H. 1857-1930.",Four aspects of civic duty.,"C. Scribner's Sons, 1908.",nyu,1908,nyp.33433061706085
"Cooley, Charles Horton, 1864-1929.",Social organization; a study of the larger mind.,"1914, c1909.",nyu,1909,coo.31924030248474
"Chelpanov, Georgīĭ Ivanovich, 1862-1936.",Vvedenie v filosofii︠u︡,"V. A. Prosianichenko, [1907].",nyu,1907,nnc2.ark:/13960/t6g176k1c
"More, Paul Elmer, 1864-1937",Shelburne essays. Second series / by Paul Elmer More.,"G.P. Putnamʾs Sons, 1907, c1905.",nyu,1907,hvd.hwpleq
"Windelband, W. 1848-1915.","History of ancient philosophy, by Dr. W. Windelband... Authorized translation by Herbert Ernst Cushman ... From the 2d German ed.","C. Scribner's sons, 1901 [c1899]",nyu,1901,coo.31924014602712
"Windelband, W. 1848-1915.","History of ancient philosophy, by Dr. W. Windelband. Authorized translation by Herbert Ernst Cushman.","C. Scribner, 1906 [c1899]",nyu,1906,uiug.30112064585885
"Anderson, Frank Maloy, 1871-1961.","The constitutions and other select documents illustrative of the history of France, 1789-1901, by Frank Maloy Anderson ...","The H.W. Wilson Company, 1904.",mnu,1904,coo1.ark:/13960/t7jq1jm00
American Medico-Psychological Association.,Proceedings of the American Medico-Psychological Association annual meeting.,American Medico-Psychological Association.,nyu,1900,hvd.32044102972502
"Washington, Booker T., 1856-1915","Working with the hands; being a sequel to ""Up from slavery,"" covering the author's experiences in industrial training at Tuskegee, by Booker T. Washington; illustrated from photographs by Frances Benjamin Johnston.","Doubleday, Page & Company, 1904.",nyu,1904,gri.ark:/13960/t5s82p815
"Taylor, Henry Osborn, 1856-1941.","Prophets, poets, and philosophers of the ancient world. by Henry Osborn Taylor ...","The Macmillan company, 1919.",nyu,1919,mdp.39015066075543
"Lombroso, Cesare, 1835-1909.","Crime, its causes and remedies. Translated by Henry P. Horton. With an introd. by Maurice Parmelee.","Little, Brown and company, 1918.",mau,1918,coo1.ark:/13960/t9f487d4x
"Elson, Henry W. 1857-1935.",The story of the Old world / by Henry W. Elson and Cornelia E. MacMullan.,"[s.n.], 1915.",nyu,1915,hvd.hn3luz
"Austin, Oscar P. 1848?-1933",Uncle Sam's secrets : a story of national affairs for the youth of the nation / by Oscar Phelps Austin.,"D. Appleton and Co., 1916.",nyu,1916,hvd.hn1rsn
"Bigelow, John, 1817-1911.",Retrospections of an active life / by John Bigelow.,"Baker & Taylor, 1909-1913.",nyu,1913,coo1.ark:/13960/t4qj80v9h
"Mahan, A. T. 1840-1914",The gulf and inland waters / by A. T. Mahan.,"Chas, Scribner's sons, 1912.",nyu,1912,chi.39387805
"Woodburn, James Albert, 1856-1943",The citizen and the republic : a text-book in government / by James Albert Woodburn and Thomas Francis Moran.,"Longmans, Green and Co., 1919.",nyu,1919,hvd.32044097050405
"Neumark, David, 1866-1924.","The philosophy of the Bible, by David Neumark.","Ark publishing company, 1918.",ohu,1918,coo1.ark:/13960/t4hm5t63q
"Lodge, Oliver, Sir, 1851-1940.","Continuity; the presidential address to the British association for 1913,","G. P. Putnam's sons, 1914.",nyu,1914,hvd.32044038394532
"Emerson, Ralph Waldo, 1803-1882",Poems and essays by Ralph Waldo Emerson. With introductions and notes.,Houghton Mifflin Company [c1911],mau,1911,chi.088038118
"Hall, Thornton, 1858-",Enslavers of kings / by Thornton Hall.,"Brentano's, 1914.",nyu,1914,coo1.ark:/13960/t98632z48
,Lectures and addresses on the Negro in the South.,"The Michie Company, printers, pref. 1915].",vau,1915,loc.ark:/13960/t5x63k57d
"Parkman, Francis, 1823-1893.",The works of Francis Parkman.,"C. Scribner's Sons, 1915.",nyu,1915,wu.89077080828
"Moreland, Sinclair, 1885-",The Texas women's hall of fame [by] Sinclair Moreland.,"Biographical press, 1917.",txu,1917,nyp.33433075966626
Omar Khayyam.,The Rubāīyāt of Omar Khayyām / translated into English verse by Edward Fitzgerald ; with illustrations photographed from life studies by Adelaide Hanscom and Blanche Cumming.,"Dodge Publishing Co., 1912.",nyu,1912,coo1.ark:/13960/t79s2b879
"Colvin, Stephen S. 1869-1923.","The learning process, by Stephen Sheldon Colvin.","Macmillan, 1911.",nyu,1911,hvd.32044028905404
"Lafargue, Paul, 1842-1911.",Social and philosophical studies / by Paul Lafargue.,"Charles H. Kerr & Co., c1916.",ilu,1916,mdp.39015078577874
"Shallo, Michael W.","Lessons in scholastic philosophy,","P. Reilly, [1916]",pau,1915,uva.x001325713
"Boethius, d. 524","The theological tractates, with an English translation by H. F. Stewart ... and E. K. Rand ... The consolation of philosophy, with the English translation of ""I.T."" (1698) rev. by H. F. Stewart","Harvard University Press; William Heinemann, 1918",mau,1918,hvd.32044052758430
"Vandercook, John, 1873-1908.","The complete revolution, [by] John Vandercook.",1910],ohu,1910,nyp.33433090330170
"Freeman, Frank N. 1880-1961",The psychology of the common branches / by Frank Nugent Freeman.,"Houghton Mifflin Company, [c1916]",mau,1916,coo1.ark:/13960/t20c5j83p
"Nordau, Max Simon, 1849-1923.","The interpretation of history, by Max Nordau; translated from the German by H. A. Hamilton.","Moffat, Yard and company, 1911.",nyu,1911,coo1.ark:/13960/t3zs39g0c
"Quincy, Josiah, 1802-1882.",Figures of the past from the leaves of old journals.,"Little, Brown, & Co. , 1910 .",mau,1910,hvd.hn2f9p
"Hall, Clifton Rumery, 1884-","Andrew Johnson, military governor of Tennessee / by Clifton R. Hall.","Princeton University Press, 1916.",nju,1916,njp.32101075987139
"Cromwell, John Wesley, 1846-1927.",The Negro in American history : men and women eminent in the evolution of the American of African descent / by John W. Cromwell.,"The American Negro Academy, 1914.",dcu,1914,emu.10002361941
"Münsterberg, Hugo, 1863-1916.","Psychology and industrial efficiency, by Hugo Münsterberg.","Houghton Mifflin company, 1913.",mau,1913,mdp.39015011043877
"Gross, Hans, 1847-1915.","Criminal psychology : a manual for judges, practitioners, and students / by Hans Gross ; translated from the 4th German edition by Horace M. Kallen ; with an introduction by Joseph Jastrow.","Little, Brown, 1911.",mau,1911,coo1.ark:/13960/t64468991
"Jackson, John Collins, 1848-1909.",Grant's strategy : and other addresses / by John Collins Jackson.,"The American issue publishing company, 1910.",ohu,1910,uc1.$b282111
"Woodburn, James Albert, 1856-1943.",Elementary American history and government.,"Longmans, Green, and co., 1910.",nyu,1910,umn.31951000785572i
Omar Khayyam.,Omar Khayyam : a reprint of the rare first edition of the translation of Edward FitzGerald.,"Saint Dunstan Society, [1912?]",nyu,1912,njp.32101076318102
"Abbot, Willis J. 1863-1934.","Notable women in history; the lives of women who in all ages, all lands and in all womanly occupations have won fame and put their imprint on the world's history, by Willis J. Abbot ....",The John C. Winston co. [c1913],pau,1913,coo1.ark:/13960/t08w3zq0c
"Putnam, James Jackson, 1846-1918.","Human motives, by James Jackson Putnam ...","Little, Brown, and Company, 1915.",mau,1915,coo1.ark:/13960/t75t46h65
"Garner, James Wilford, 1871-1938.","Government in the United States, national, state, and local / by James W. Garner.","American book company, 1916.",nyu,1916,hvd.32044097049910
"Scott, Walter Dill, 1869-1955.","The theory and practice of advertising a simple exposition of the principles of psychology in their relation to successful advertising, by Walter Dill Scott.","Small, 1912 [c1903]",mau,1912,nnc2.ark:/13960/t56d7dx4t
"Ribot, Th. 1839-1916.",The diseases of the will. Authorised translation from the eighth French ed.,"Open Court, 1915 [c1894]",ilu,1915,uc2.ark:/13960/t6251k64t
"Breitwieser, J. V., 1884-",Psychological advertising [by] J. V. Breitwieser ...,"Apex book company, 1915.",cou,1915,mdp.39015034717010
Library of the Surgeon-General's Office (U.S.),"Texts illustrating the history of medicine in the Library of the Surgeon General's Office, U. S. Army; arranged in chronological order.",1912,dcu,1912,uiug.30112049882100
"Brown, George, of Dallas. [from old catalog]","Occult psychology,",The Psychological society [c1919],txu,1919,loc.ark:/13960/t0vq44d0b
"Trafton, Gilbert H. 1874-",Science of home and community : a text-book in general science / by Gilbert H. Trafton.,"Macmillan Co., 1919.",nyu,1919,hvd.32044097025159
"White, William A. 1870-1937","Outlines of psychiatry, by William A. White.","The Journal of nervous and mental disease publishing company, 1911.",nyu,1911,chi.55570964
"Schurz, Carl, 1829-1906.","Speeches, correspondence and political papers of Carl Schurz; selected and ed. by Frederic Bancroft on behalf of the Carl Schurz Memorial Committee ...","G.P. Putnam's Sons, 1913.",nyu,1913,coo1.ark:/13960/t0tq6h22t
"Sully, James, 1842-1923.","Studies of childhood, by James Sully ...","D. Appleton and Co., 1914.",nyu,1914,iau.31858049171782
"Steward, William, 1840-","Gouldtown, a very remarkable settlement of ancient date; studies of some sturdy examples of the simple life, together with sketches of early colonial history of Cumberland County and southern New Jersey and some early genealogical records, by William Steward and Rev. Theophilus G. Steward.","J. B. Lippincott Co., 1913.",pau,1913,hvd.32044004784419
"Morris, Robert T. 1857-1945","A surgeon's philosophy, by Robert T. Morros, M.D. Frontispiece.","Doubleday, Page and company, 1915.",nyu,1915,coo1.ark:/13960/t64467b16
"Macy, Jesse, 1842-1919.","Political parties in the United States, 1846-1861.","Macmillan Co., 1918 [c1900]",nyu,1918,njp.32101068938289
"Binet, Alfred, 1857-1911.",The development of intelligence in children (the Binet-Simon scale) By Alfred Binet and Th. Simon. Translated by Elizabeth S. Kite.,"Williams & Wilkins, 1916]",mdu,1916,hvd.hc28du
"Hart, Albert Bushnell, 1854-1943","American patriots and statesmen, from Washington to Lincoln, revealed in the letters, addresses, state papers and other writings of Benjamin Franklin, Cotton Mather ... and many others. Ed. by Albert Bushnell Hart.","Printed at the Collier press, 1916]",nyu,1916,hvd.hx4zir
"Shurter, Edwin Du Bois, 1863-1946.","Both sides of 100 public questions briefly debated; with affirmative and negative references, by Edwin Du Bois Shurter and Carl Cleveland Taylor.","Hinds, Noble & Eldredge, [c1913]",nyu,1913,coo1.ark:/13960/t1gj0px7p
"Nicolay, John G. 1832-1901.",Abraham Lincoln : a history.,The Century co. [c1914],nyu,1914,uc1.31210000571263
"Elliott, Edward, 1874-1947.","American government and majority rule; a study in American political development, by Edward Elliott, PH.D.","Princeton university press; [etc.,etc.] 1916.",nju,1916,coo1.ark:/13960/t2c82w05f
"Morris, Lloyd R., 1893-1954,","The young idea; an anthology of opinion concerning the spirit and aims of contemporary American literature,","Duffield and company, 1917.",nyu,1917,loc.ark:/13960/t1gj0ct7m
"McClure, Matthew Thompson, 1883-1964.","A study of the realistic movement in contemporary philosophy, by Matthew Thompson McClure.","The McClure Co., Inc. Printers] 1912.",vau,1912,uc1.$b45794
"Colvin, Stephen S. 1869-1923.",The learning process / by Stephen Sheldon Colvin.,"Macmillan, 1914.",nyu,1914,coo1.ark:/13960/t3fx7tp9v
"Scott, Walter Dill, 1869-1955",The theory and practice of advertising a simple exposition of the principles of psycholoy in their relation to successful advertising. By Walter Dill Scott ...,"Small, Maynard & company, 1914.",mau,1914,hvd.32044051139590
"Jung, C. G. 1875-1961,","Studies in word-association; experiments in the diagnosis of psychopathological conditions carried out at the Psychiatric clinic of the University of Zurich, under the direction of C. G. Jung. Authorized translation by Dr. M.D. Eder.","Moffat, Yard & company, 1919.",nyu,1919,ien.35556001149038
"Horne, Herman Harrell, 1874-1946.","Jesus--our standard, by Herman Harrell Horne.",The Abingdon Press [c1918],nyu,1918,hvd.ah4199
"Harrison, Elizabeth, 1849-1927.",A study of child-nature from the kindergarten standpoint / by Elizabeth Harrison.,"National Chicago kindergarten college, 1914, c1890.",ilu,1914,uc2.ark:/13960/t4nk3kq3p
"Van Dyke, Henry, 1852-1933.",Out-of-doors in the Holy Land: impressions of travel in body and spirit / by Henry Van Dyke.,"Scribner's, 1911.",nyu,1911,nnc1.cr61147010
"Mateer, Florence.","The unstable child; an interpretation of psychopathy as a source of unbalanced behavior in abnormal and troublesome children, by Florence Mateer ....",D. Appleton and company [1929],nyu,1929,coo.31924055068740
"Mavity, Arthur Benton.",Responsible citizenship / by Arthur Benton Mavity and Nancy Barr Mavity.,"Benj. H. Sanborn & Co., 1924.",ilu,1924,hvd.hnqnwb
"Herndon, William Henry, 1818-1891.",Abraham Lincoln : the true story of a great life / by William H. Herndon and Jesse W. Weik ; with an introd. by Horace White.,"D. Appleton, 1928, c1920.",nyu,1920,uiug.30112047570954
,Bulletin / New York State Museum and Science Service.,"University of the State of New York, 1956-1974.",nyu,1921,mdp.39015006846037
"Newcomb, Theodore M. 1903-1984.","The consistency of certain extrovert-introvert behavior patterns in 51 problem boy, by Theodore M. Newcomb.","Teachers college, Columbia university, 1929.",nyu,1929,mdp.39015066015697
"Buchan, John, 1875-1940.","Two ordeals of democracy, by John Buchan.","Houghton Mifflin company, 1925.",mau,1925,mdp.39015027744872
"Taylor, Carl C. 1884-1975.","Human relations; a college textbook in citizenship, by Carl C. Taylor ... and B.F. Brown ...",Harper & brothers [c1926],nyu,1926,wu.89096973664
"Williston, Samuel, 1861-1963.","Some modern tendencies in the law, by Samuel Williston.","Baker, Voorhis & co., 1929.",nyu,1929,uiug.30112022900879
"Gates, Arthur I. 1890-1972.","Psychology for students of education, by Arthur I. Gates ...","Macmillan Co., 1928, c1923.",nyu,1923,uc1.$b72950
,The Cambridge history of American literature / edited by William Peterfield Trent ... [et al.],"G.P. Putnam's Sons ; University Press, 1917-21.",nyu,1921,osu.32435052803061
"Streeter, Burnett Hillman, 1874-1937.","Reality; a new correlation of science and religion, by Burnett Hillman Streeter ...","The Macmillan company, 1929.",nyu,1929,mdp.39015062240166
"Feyrer, Ernest C. b. 1877.","The call of the soul : a scientific explanation of telepathy and psychic phenomena, with specific instructions for developing thought-transference, psychometry, mind-reading, automatic writing, mental broadcasting and other psychic phenomena / by Ernest C. Feyrer.","Auto-Science Institute, [c1926]",cau,1926,uc1.b4081153
"Depew, Chauncey M. 1834-1928.","Speech by Hon. Chauncey M. Depew on his eighty-ninth birthday at the Montauk Club, Brooklyn, N.Y., April 28th, 1923, being the 32nd annual dinner given him by this club.",1923],nyu,1923,yale.39002014176862
"Schiappacasse, Joseph T.",Why winners win : or psychology applied to sports / by Joseph T. Schiappacasse.,"International Sales Co., [c1927].",miu,1927,mdp.49015003094308
"Krabbe, H. 1857-1936.",The modern idea of the state; authorized translation with an introd. by George H. Sabine and Walter J. Shepard.,D. Appleton 1922,nyu,1922,umn.319510026715258
"Horn, Simon Taylor, 1858-","The destruction of political idols, by Simon Taylor Horn.","The Eastwood Printing Company, c1925]",cou,1925,wu.89096969068
"Plant, James Stuart, 1890-1947",Sociological factors challenging the practice of psychiatry ....,1929,mdu,1929,coo.31924013872720
"Kirkpatrick, Edwin A. 1862-1937",Genetic psychology : an introduction to an objective and genetic view of intelligence / by Edwin A. Kirkpatrick.,"Macmillan, 1925.",nyu,1925,hvd.32044084631233
"Williams, James Mickel, 1876-1973",Principles of social psychology as developed in a study of economic and social conflict / by James Mickel Williams.,"A.A. Knopf, 1927.",nyu,1927,hvd.hnf2p4
"Van Dyke, Henry, 1852-1933.","Companionable books, by Henry Van Dyke.","C. Scribner's sons, 1927.",nyu,1927,iau.31858024227237
,Science of legal method; select essays by various authors. Translations by Ernest Bruncken and Layton B. Register. With introductions by Henry N. Sheldon and by John W. Salmond.,"Macmillan, 1921.",nyu,1921,coo1.ark:/13960/t3hx1x18f
,Science remaking the world / edited by Otis W. Caldwell and Edwin E. Slosson.,"Doubleday, Page, 1925.",nyu,1925,uc1.$b36188
"Boas, Ralph Philip, 1887-1945.",Social backgrounds of English literature / by Ralph Philip Boas and Barbara M. Hahn.,"Little, Brown & Co., 1926 [c1923]",mau,1923,mdp.39015016886643
"Post, Chandler Rathfon, 1881-1959.","A history of European and American sculpture from the early Christian period to the present day, by Chandler Rathfon Post ...","Harvard University Press; [etc., etc.] 1921.",mau,1921,coo.31924020536847
"Bang, Gustav, 1871-1915.",Crises in European history / [by] Gustav Bang; tr. from the Danish by Arnold Petersen.,"New York Labor News Co., [1928]",nyu,1928,wu.89096334453
"O'Higgins, Harvey Jerrold, 1876-1929.","The American mind in action, by Harvey O'Higgins and Edward H. Reede, M. D.","Harper & brothers, 1924.",nyu,1924,mdp.39015025877021
"Ludlow, Louis Leon, 1873-1950.","From cornfield to press gallery; adventures and reminiscences of a veteran Washington correspondent, by Louis Ludlow, illustrated by C. K. Berryman.","W. F. Roberts Co., 1924.",dcu,1924,uc1.$b111120
"Poe, Edgar Allan, 1809-1849.",The poetical works of Edgar Allan Poe; with illustrations by Edmund Dulac.,"George H. Doran company, [1921]",nyu,1921,uc2.ark:/13960/t7qn5zw6t
"Cruse, Amy, 1870-","The shaping of English literature and the readers' share in the development of its forms, by Amy Cruse ...",Thomas Y. Crowell Company [1927],nyu,1927,uc1.$b112306
"Shields, Thomas Edward, 1962-","Philosophy of education, by Thomas Edward Shields...","The Catholic education press, 1921,[c1917]",dcu,1921,uc2.ark:/13960/t42r3rj9v
"Gordin, Harry Mann, 1854-1923.","Science, truth, religion and ethics as foundations of a rational philosophy of life, by Harry Mann Gordin.",C.H. Kerr [c1924],ilu,1924,wu.89094584893
"Robinson, Edgar Eugene, 1887-",The evolution of American political parties : a sketch of party development / by Edgar E. Robinson.,"Harcourt, Brace, c1924.",nyu,1924,mdp.39015008278411
,Tufts College studies. Scientific series,"Charles Hyde Olmstead Fund, 1894-",mau,1928,uc1.31822009743576
"Stoddart, William Henry Butter, 1868-",Mind and its disorders : a text-book for students and practitioners of medicine by W.H.B. Stoddart.,"P. Blakiston's Son & Co., 1925.",pau,1925,uc1.b5367176
"Bell, Clive, 1881-1964.","On British freedom, by Clive Bell ...","Harcourt, Brace and company, 1923.",nyu,1923,mdp.39015002731241
"Groves, Ernest R. 1877-1946.",Personality and social adjustment.,"Longmans, Green and co., 1925.",nyu,1925,umn.31951001868163h
"Bloxam, Charles Loudon, 1831-1887.","Chemistry, inorganic and organic, with experiments, by Charles Loudon Bloxam.","P. Blakiston, 1923.",pau,1923,uc1.$b618631
"Vaughan, Wayland Farries, 1901-","The lure of superiority; a study in the psychology of motives, by Wayland F. Vaughan.",H. Holt and company [c1928],nyu,1928,mdp.39015002605072
"Rusk, Robert R. 1879-1972.","The philosophical bases of education, by Robert R. Rusk ...",Houghton Mifflin company [1927],mau,1929,mdp.39015062699031
"Van Alstyne, Dorothy, 1899-",The environment of three-year-old children;,"Teachers college, Columbia university, 1929.",nyu,1929,mdp.39015074137939
"Overton, Grant M. 1887-1930.",Cargoes for Crusoes / by Grant Overton.,"D. Appleton & company : George H. Doran Company ; Little, Brown, and company, c1924.",nyu,1924,mdp.39015010923012
"Hobson, J. A. 1858-1940.","Free-thought in the social sciences, by J. A. Hobson, ...","The Macmillan Company, 1926.",nyu,1926,mdp.39015002662180
"Hollingworth, Harry L. 1880-1956.",Mental growth and decline.,"D. Appleton and company, 1927.",nyu,1927,iau.31858024879300
"Husband, Joseph, 1885-1938.","Americans by adoption; brief biographies of great citizens born in foreign lands, by Joseph Husband, with an introduction by William Allan Neilson.",The Atlantic monthly press [c1920],mau,1920,hvd.32044097037196
"Hayward, Charles Williams, 1864-","Re-creating human nature; being an exposition of the making of psychology, by Charles W. Hayward ....","A.A. Knopf, 1924.",nyu,1924,coo.31924014095511
