author,title,imprint,nationality,inferreddate,htid
"Crichton, Kyle",The proud people : a novel,New York|Charles Scribner,us,1944,uc1.$b56441
"Smith, Sarah",The knowledge of water,New York|Ballantine Books,us,1996,uc1.32106015584854
"McKenna, Stephen, 1888-","Sheila intervenes, by Stephen McKenna ...","George H. Doran Company, [1920]",nyu,1913,uc2.ark:/13960/t2k64c74t
"Schroeder, Joan V.,",Solitary places / | $c: Joan Vannorsdall Schroeder.,New York|Putnam's|c1994.,nyu,1994,mdp.39015032354972
"Greenleaf, Sue",Don Miguel Lehumada,New York;B. W. Dodge and ,us,1906,uc2.ark+=13960=t1ng4h02g
"Lodge, Oliver, Sir, 1851-1940.","Continuity; the presidential address to the British association for 1913,","G. P. Putnam's sons, 1914.",nyu,1914,hvd.32044038394532
,Small boats and big seas : a hundred years of yachting,Melbourne|New York|Oxford,,1978,mdp.39015011506170
"Rosny, J. H., aÃ®nÃ©, pseud. of J. H. BoÃ«x","The giant cat; or, The quest of Aoun and Zouhr",New York|R. M. McBride|19,fr,1924,uc1.$b318317
"Onions, Oliver, 1873-1961.",The debit account. -,"Nisbet, 1917.",inu,1913,uc2.ark:/13960/t3tt4p68p
,"The decision, a novel",S.l.;Printed for Henry Co,,1811,njp.32101067645901
"Colver, Anne",Mr. Lincoln's wife,"New York|Holt, Rinehart a",us,1965,pst.000027670989
"Mayer, Frederick, 1921-",A history of ancient & medieval philosophy.,American Book Co. [1950],nyu,1950,uc1.32106000017829
"Howland, Hazel Pope.","How to read in science and technology / by Hazel Pope Howland, Lawrence L. Jarvie, Leo F. Smith.","Harper, [1943]",nyu,1943,mdp.39015030970621
"Leighton, Clare",Country matters,New York|The Macmillan Co,,1937,uc1.b3639376
"Lynde, Francis, 1856-1930.",The grafters / by Francis Lynde ; illustrated by Arthur I. Keller.,"A. Wessels Co., 1907.",mau,1904,uc2.ark:/13960/t3805071m
"Montagu, Ashley, 1905-1999.",Education and human relations.,Grove Press [c1958],nyu,1958,mdp.39015002971862
,"Self-steering and cognition in complex systems : toward a new cybernetics / edited by Francis Heylighen, Erik Rosseel, and Frank Demeyere.","Gordon and Breach Science Publishers, c1990.",nyu,1990,mdp.39015019573495
"Lewis, Ethel, 1896-","The White House; an informal history of its architecture, interiors and gardens, by Ethel Lewis.","Dodd, Mead & company, 1937.",nyu,1937,uc1.$b727631
"Aptheker, Herbert, 1915-2003.",American Negro slave revolts / by Herbert Aptheker ; with a foreword by John H. Bracey.,"International Publishers, c1983.",nyu,1983,mdp.39015062112514
"Sarton, George, 1884-1956.",Six wings: men of science in the Renaissance.,"Indiana University Press 1967, c1957.",inu,1967,umn.31951002126272f
"Wiley, George M. 1875-1968.","The redirection of secondary education; a social interpretation, by George M. Wiley, Jr. ...","Macmillan, 1940.",nyu,1940,mdp.39015062812998
"Jenness, Diamond,",Myths of the Carrier Indians of British Columbia ...,Boston|1934,mau,1934,inu.32000004220119
"Tytell, John.","Naked angels : Kerouac, Ginsberg, Burroughs / John Tytell.","Grove Weidenfeld, 1991.",nyu,1991,uva.x004091595
"Marshall, Archibald,","The claimants, | $c: by Archibald Marshall.",Boston|New York|Houghton Mifflin company|1934.,mau,1934,mdp.39015000674443
