author,title,imprint,nationality,date,htid
"Means, Florence Crannell",Alicia,Boston|Houghton Miffllin ,us,1953,mdp.39076002598642
"Clifford, Hugh Charles, Sir,","The further side of silence | $c: [by] Sir Hugh Clifford, illustrated by Mahlon Blaine.","Garden City, N.Y.|Doubleday, Page & company|c1927",nyu,1916,uc1.$b52714
"Lynd, Albert.",Quackery in the public schools.,Grosset & Dunlap [1953],nyu,1953,mdp.39015016495544
"King, Marian",Young King David,Philadelphia|J.B. Lippinc,us,1948,mdp.39076002196686
"McCutcheon, George Barr",Yollop,"New York;Dodd, Mead and c",us,1922,uc2.ark+=13960=t8sb3xw2h
"Turnbull, Colin M",The mountain people,New York|Simon and Schust,,1972,mdp.39015034656440
"Ollier, Charles","Fallacy of ghosts, dreams, and omens; with stories of witchcraft, life-in-death, and monomania",London;C. Ollier;1848.,,1848,mdp.39015011948372
"Bromfield, Louis,","It takes all kinds, | $c: by Louis Bromfield.",New York.|London|Harper & brothers|1939.,nyu,1938,mdp.39015030851151
"Tobias, Randolf.",Nurturing at-risk youth in math and science : curriculum and teaching considerations / Randolf Tobias ... [et al.],"National Educational Service, 1992.",inu,1992,mdp.39015032936943
"Franklyn, Irwin R",Flight : an epic of the air,New York|Grosset & Dunlap,us,1929,uc1.$b300302
"Harris, Joel Chandler, 1848-1908.","Uncle Remus, his songs and his sayings, by Joel Chandler Harris; with an introduction by Thomas Nelson Page, and illustrations by A. B. Frost and E. W. Kemble.","D. Appleton and company, 1920.",nyu,1880,uc2.ark:/13960/t6n010v0x
"Frazier, Anitra",It's a cat's life : true stories with practical help for your cat from birth to old age,New York|Beaufort Books|c,,1985,coo.31924003818675
"Frothingham, Richard, 1812-1880.","The rise of the republic of the United States, by Richard Frothingham.","Little, Brown, and Company, 1902.",mau,1902,loc.ark:/13960/t58d08x44
"Depew, Chauncey M. 1834-1928.","Speech by Hon. Chauncey M. Depew on his eighty-ninth birthday at the Montauk Club, Brooklyn, N.Y., April 28th, 1923, being the 32nd annual dinner given him by this club.",1923],nyu,1923,yale.39002014176862
"Sadler, William Samuel, 875-",Practice of psychiatry.,"Mosby, 1953.",mou,1953,mdp.39015072208302
"Fisher, Dorothy Canfield, 1879-1958.",American portraits; pictures by Enit Kaufman; text by Dorothy Canfield Fisher.,H. Holt and Company [1946],nyu,1946,wu.89067326686
"Young, Douglas H..",Don't fence me in : | a novel / | $c: Douglas H. Young.,Boston|New Directions|1995.,mau,1995,mdp.39015034251010
"Mackenzie, Compton, Sir",Extremes meet,"Garden City, N. Y.|Double",uk,1928,mdp.39015013248664
