author,title,imprint,nationality,date,htid
"Ludlow, Louis Leon, 1873-1950.","From cornfield to press gallery; adventures and reminiscences of a veteran Washington correspondent, by Louis Ludlow, illustrated by C. K. Berryman.","W. F. Roberts Co., 1924.",dcu,1924,uc1.$b111120
"Gallagher, Hugh Gregory.",FDR's splendid deception : the moving story of Roosevelt's massive disability and the intense efforts to conceal it from the public / Hugh Gregory Gallagher.,"Vandamere Press, c1994.",vau,1994,wu.89063007710
"Urban, Joan, 1950-",Richard Wright / Joan Urban.,"Chelsea House Publishers, c1989.",nyu,1989,inu.39000004673161
"Gaines, Ernest J.,",A lesson before dying / | $c: Ernest J. Gaines.,New York|Alfred A. Knopf|1993.,nyu,1993,mdp.39015046816164
"Bang, Gustav, 1871-1915.",Crises in European history / [by] Gustav Bang; tr. from the Danish by Arnold Petersen.,"New York Labor News Co., [1928]",nyu,1928,wu.89096334453
"Klier, Sol.",Effects of induced stress on learning and performance / Sol Klier.,"New York University, College of Engineering, Research Division, [1962]",nyu,1962,uiug.30112072396101
"Hereford, Robert A","Old Man River, the memories of Captain Louis Rosché, pioneer steamboatman","Caldwell, Id.;The Caxton ",,1913,mdp.39015067875818
"Bailey, Harriet.","Nursing mental diseases, by Harriet Bailey ..","The Macmillan company, 1939.",nyu,1939,osu.32435000631838
,"Controversial issues in adventure education : a critical examination / [edited by] Scott D. Wurdinger, Tom G. Potter.","Kendall/Hunt Pub. Co., c1999.",iau,1999,mdp.39015055871464
"Paul, Leslie, 1905-1985.",The annihilation of man : a study of the crisis in the West / by Leslie Paul.,"Harcourt, Brace and Company , [1945]",nyu,1945,mdp.39015003462234
"Wilson, Edmund, 1895-1972.",To the Finland station; a study in the writing and acting of history.,"Doubleday, 1953 [c1940]",nyu,1953,mdp.39015002298183
"Aakhus, Patricia",The voyage of Mael Duin's curragh,"Santa Cruz, Calif.|Story ",us,1989,uc1.b4975632
"Mantel, Hilary",An experiment in love,London|Viking|New York|Pe,uk,1995,mdp.39015037698258
"Piltz, Albert, 1915-",Creative teaching of science in the elementary school [by] Albert Piltz [and] Robert Sund. Foreword by E. Paul Torrance.,Allyn and Bacon [1968],mau,1968,umn.31951000823355t
"Bacon, Charlotte,",A private state : | stories / | $c: Charlotte Bacon.,Amherst|University of Massachusetts Press|c1998.,mau,1998,mdp.39015040063482
"Murasaki Shikibu,","The tale of Genji: | a novel in four parts,",New York|The Literary guild|1935.,nyu,1925,mdp.39015016580832
"Doctorow, E. L",The waterworks,New York|Random House|c19,us,1994,mdp.39015031793568
"Cloete, Stuart",The abductors,New York|Trident Press|19,sa,1966,uc1.b3810939
,The blue fairy book / edited by Andrew Lang ; with coloured frontispiece and numerous other illustrations by H.J. Ford and G.P. Jacomb Hood.,"Longmans, Green and Co., c1920.",nyu,1889,nc01.ark:/13960/t9281fb0w
"Stacton, David",On a balcony,London|Faber and Faber|19,us,1958,uc1.b3727846
"Smith, George Horsley","Motivation research in advertising and marketing, [by] George Horsley Smith.",1954,nyu,1954,umn.319510011282002
"Page, Myra",With sun in our blood,New York|Citadel Press|c1,us,1950,mdp.39015000540933
"Lange, Oliver",Incident at La Junta,New York|Stein and Day|19,us,1973,mdp.39015048883675
"Mofolo, Thomas","Chaka, an historical romance",London|Pub. for the Inter,le,1931,uc1.b3148398
"Marshall, Paule,","The chosen place, the timeless people / | $c: Paule Marshall.","New York|Vintage Books|1992, c1969.",nyu,1969,uc1.32106016252030
"Henty, G. A. 1832-1902.","Facing death : or the hero of the Vaughan Pit, a tale of the coal mines / by G. A. Henty.","Hurst & Company, [1900?]",cou,1882,uc2.ark:/13960/t3610wg0v
