author,title,imprint,nationality,inferreddate,htid
"Hewlett, J. (Joseph)",The parish clerk,London;Henry Colburn;1841,uk,1841,mdp.39015063560687
,"Personality and the behavioral disorders / edited by Norman S. Endler, J. McVicker Hunt.","Wiley, c1984.",nyu,1984,mdp.39015007040481
"Parrish, Anne,","Mr. Despondency's daughter, | $c: by Anne Parrish.",New York|London|Harper & Brothers|1938.,nyu,1938,mdp.39015000540578
"Webb, Kate Cope",Arthur in shadow and sunshine,San Francisco;R.J. Orozco,,1912,uc2.ark+=13960=t3ws8jc3n
"Rockman, Bert A.",The leadership question : the presidency and the American system / Bert A. Rockman.,"Prager, 1984.",nyu,1984,mdp.39015008178652
"Mathematics and Science Education in U.S. Public Schools (1958 : Washington, D.C.)","Mathematics and science education in U.S. public schools / report of the conference sponsored by American Association for the Advancement of Science, American Association of School Administrators, Council of Chief State School Officers, National Association of Secondary School Principals, Scientific Manpower Commission, in cooperation with U.S. Office of Education, Washington, D. C., February 10-11, 1958 ; [J. Dan Hull...et al.]","U.S. Dept. of Health, Education, and Welfare, Office of Education : For sale by the Supt. of Docs., U.S. G.P.O., 1958.",dcu,1958,osu.32435020202784
"Hunt, Mabel Leigh",Sibby Botherbox,Philadelphia|J.B. Lippinc,us,1945,mdp.39076002271778
Ohio State University.,Contributions in English.,The University.,ohu,1921,mdp.39015029412999
"Van Dyke, Henry, 1852-1933.",Out-of-doors in the Holy land : impressions of travel in body and spirit / by Henry Van Dyke.,"Charles Scribner's Sons, 1927, c1908.",nyu,1908,uc1.$b675385
"Christensen, Tom, 1949-","Structure, culture, and governance : a comparison of Norway and the United States / Tom Christensen and B. Guy Peters.","Rowman & Littlefield Publishers, c1999.",mdu,1999,mdp.39015047523603
"Blackhurst, J. Herbert 1890-",Principles of methods / J. Herbert Blackhurst.,"University Press, 1936.",iau,1936,mdp.39015059733389
"Hobhouse, Christina,",A well-told lie.,New York|Knopf|1973 [c1972,nyu,1973,inu.30000120967314
"Thirkell, Angela",Three score and ten,London|H. Hamilton|1961,au,1961,mdp.39015029146803
"Metcalf, Henry C. 1867-1942.","The psychological foundations of management, edited by Henry C. Metcalf ....","A.W. Shaw company; A.W. Shaw and company, limited, 1927.",ilu,1927,coo.31924013917095
"Boles, Robert.","The people one knows, | a novel.",Boston|Houghton Mifflin|1964.,mau,1964,uc1.b3727129
Plotinus.,"The essence of Plotinus,","Oxford university press, 1934.",nyu,1934,mdp.39015011011007
"Hunt, Shelby D.",Modern marketing theory : critical issues in the philosophy of marketing science / Shelby D. Hunt.,"South-Western Pub. Co., c1991.",ohu,1991,mdp.39076001031199
"Fox, John, Jr., 1862-1919.","The heart of the hills, by John Fox, jr.; illustrated by F. C. Yohn.","C. Scribner's sons, 1913.",nyu,1913,uc2.ark:/13960/t03x84h4c
"Dhaḷa, Rameśa Candra",Two kilos of rice & other stories,"Calcutta, India|Writers W",,1989,mdp.39015024894282
,Social interaction and the development of children's understanding / edited by Lucien Winegar.,"Ablex Pub. Corp., c1989.",nju,1989,mdp.39015015507182
"Lafargue, Paul, 1842-1911.",Social and philosophical studies / by Paul Lafargue.,"Charles H. Kerr & Co., c1916.",ilu,1916,mdp.39015078577874
"Carroll, Jonathan,",Sleeping in flame / | $c: Jonathan Carroll.,New York|Doubleday|1989.,nyu,1989,mdp.39015019199168
"Erickson, John R.,",The case of the night-stalking bone monster / | $c: John R. Erickson ; illustrations by Gerald L. Holmes.,"Houston, Tex.|Maverick Books|c1996.",xxu,1996,pst.000046842596
"Frank, J. O. 1885-1949.","Mystery experiments and problems for science classes and science clubs, by J.O. Frank, assisted by Guy J. Barlow.","J.O. Frank, c1940.",wiu,1940,osu.32435014849087
"Symonds, Percival Mallon, 1893-1960.","The psychology of parent-child relationships,","D. Appleton-Century company, incorporated [c1939]",nyu,1939,mdp.39015004143627
